alarm_time,cities
דקה,ראס עלי
מיידי,ראש הנקרה
דקה וחצי,ראש העין
30 שניות,ראש פינה
דקה וחצי,ראש צורים
דקה וחצי,ראשון לציון - מזרח
דקה וחצי,ראשון לציון - מערב
דקה,רבדים
דקה,רביד
30 שניות,רגבה
דקה וחצי,רגבים
45 שניות,רהט
45 שניות,רהט והפזורה
45 שניות,רווחה
30 שניות,רוחמה
דקה,רומאנה
דקה,רומת אל הייב
דקה וחצי,רחובות
דקה וחצי,רחלים
דקה וחצי,רטורנו - גבעת שמש
מיידי,ריחאנייה
דקה וחצי,ריחן
דקה וחצי,ריינה
דקה וחצי,רינתיה
דקה,רכסים
דקה,רם און
דקה,רמות
דקה וחצי,רמות השבים
דקה וחצי,רמות מאיר
מיידי,רמות נפתלי
דקה וחצי,רמלה
דקה וחצי,רמת גן
דקה וחצי,רמת גן - מזרח
דקה וחצי,רמת גן - מערב
דקה,רמת דוד
דקה וחצי,רמת הכובש
דקה וחצי,רמת הנדיב
דקה וחצי,רמת השרון
דקה,רמת יוחנן
דקה,רמת ישי
מיידי,רמת מגשימים
דקה,רמת צבי
דקה וחצי,רמת רזיאל
45 שניות,רנן
15 שניות,רעים
דקה וחצי,רעננה
דקה,רקפת
דקה וחצי,רשפון
דקה וחצי,שאנטי במדבר
מיידי,שאר ישוב
30 שניות,שבי דרום
מיידי,שבי ציון
מיידי,שבלי
דקה וחצי,שגב שלום
דקה וחצי,שגב שלום והפזורה
דקה וחצי,שגב-שלום
15 שניות,שדה אברהם
דקה,שדה אילן
30 שניות,שדה אליעזר
30 שניות,שדה דוד
דקה וחצי,שדה ורבורג
30 שניות,שדה יואב
דקה,שדה יעקב
דקה וחצי,שדה יצחק
45 שניות,שדה משה
מיידי,שדה נחמיה
15 שניות,שדה ניצן
45 שניות,שדה עוזיהו
30 שניות,שדה צבי
דקה וחצי,שדות ים
דקה,שדות מיכה
דקה וחצי,שדי חמד
דקה,שדמה
דקה,שדמות דבורה
15 שניות,שדרות
דקה וחצי,שהם
דקה וחצי,שואבה
15 שניות,שובה
45 שניות,שובל
מיידי,שומרה
מיידי,שומרת
15 שניות,שוקדה
דקה וחצי,שורש
דקה,שורשים
דקה,שזור
30 שניות,שחר
30 שניות,שיבולים
30 שניות,שייח' דנון
דקה,שכניה
מיידי,שלומי
30 שניות,שלומית
15 שניות,שמיר
דקה,שמשית
מיידי,שניר
דקה,שעב
15 שניות,שעל
דקה וחצי,שעלבים
דקה וחצי,שער אפרים
30 שניות,שער הגולן
דקה,שער העמקים
דקה וחצי,שער מנשה
דקה וחצי,שערי תקווה
דקה וחצי,שפיים
45 שניות,שפיר
דקה וחצי,שפר
דקה,שפרעם
דקה וחצי,שקד
דקה,שרונה
דקה,שריגים - ליאון
דקה וחצי,שריד
30 שניות,שרשרת
מיידי,שתולה
45 שניות,שתולים
45 שניות,תארבין
30 שניות,תאשור
30 שניות,תדהר
30 שניות,תובל
דקה,תחנת רכבת כפר יהושוע
דקה וחצי,תחנת רכבת ראש העין
45 שניות,תימורים
דקה,תירוש
דקה וחצי,תל אביב - דרום העיר ויפו
דקה וחצי,תל אביב - יפו
דקה וחצי,תל אביב - מזרח
דקה וחצי,תל אביב - מרכז העיר
דקה וחצי,תל אביב - עבר הירקון
מיידי,תל חי
דקה,תל יוסף
דקה,תל יצחק
דקה וחצי,תל מונד
דקה,תל עדשים
דקה וחצי,תל ערד
דקה וחצי,תל ערד ואל פורה
דקה וחצי,תל ציון
30 שניות,תל קציר
דקה וחצי,תל שבע
15 שניות,תלמי אליהו
דקה וחצי,תלמי אלעזר
30 שניות,תלמי ביל''ו
15 שניות,תלמי יוסף
45 שניות,תלמי יחיאל
30 שניות,תלמי יפה
30 שניות,תלמים
דקה,תמרת
דקה וחצי,תנובות
דקה וחצי,תעוז
דקה וחצי,תעשיון חצב
דקה וחצי,תעשיון צריפין
45 שניות,תפרח
15 שניות,תקומה
15 שניות,תקומה וחוות יזרעם
15 שניות,תראבין א-צאנע ופזורה
דקה וחצי,תרום
