loc,lat,long,km_from_Gaza
כרמי יוסף,31.848,34.9213,47.885
כרמי צור,31.6095,35.1013,51.926
כרמיאל,32.9147,35.2924,164.588
כרמיה,31.6027,34.5404,3.759
כרמים,31.3337,34.9179,40.686
כרמית,31.3322,34.8968,39.111
כרמל,31.4318,35.1828,60.364
לבון,32.9412,35.2865,166.949
לביא,32.7876,35.4407,159.637
לבנים,32.8638,35.4975,169.615
להב,31.3794,34.8713,34.257
להבות הבשן,33.1412,35.6479,203.028
להבות חביבה,32.3952,35.0118,101.38
להבים,31.3738,34.817,30.249
לוד,31.951,34.8881,54.357
לוזית,31.6882,34.8882,34.928
לוחמי הגטאות,32.9627,35.0967,161.945
לוטם וחמדון,32.8809,35.36,164.356
לוטן,29.9883,35.0868,157.203
לטרון,31.8369,34.9772,51.034
לימן,33.0587,35.1118,172.416
לכיש,31.5609,34.8441,27.098
לפיד,31.917,35.0318,60.744
לפידות,32.9598,35.261,167.738
לקיה,31.324884,34.866219,37.257
לקיה והפזורה,31.3249,34.8662,37.254
מאור,32.4258,35.0053,104.067
מאיר שפיה,32.5912,34.9711,119.306
מבוא ביתר,31.7226,35.1067,55.474
מבוא חורון,31.8496,35.035,56.223
מבוא חמה,32.7367,35.6552,167.52
מבוא מודיעים,31.9339,34.988,59.095
מבועים,31.4494,34.655,13.035
מבטחים,31.242423,34.407488,7.243
מבטחים עמיעוז ישע,31.248463,34.413404,7.65
מבקיעים,31.6225,34.5774,7.537
מבשרת ציון,31.8041,35.1579,63.532
מג'דל כרום,32.9201,35.2566,163.604
מג'דל שמס,33.2691,35.7721,221.233
מגדים,32.7277,34.9609,133.095
מגדל,32.8395,35.4998,167.518
מגדל העמק,32.6778,35.2417,139.322
מגדל עוז,31.6409,35.1431,56.39
מגדל תפן,32.9766793,35.278017,170.118
מגדלים,32.0899,35.3426,95.532
מגל,32.3856,35.0361,101.598
מגן,31.2987362,34.4269827,5.372
מגן שאול,32.5215,35.3064,128.318
מגשימים,32.0444,34.8998,63.027
מדרשת בן גוריון,30.8523,34.7834,62.282
מודיעין,31.8903,35.0104,57.259
מודיעין - ישפרו סנטר,31.8898056,34.9649992,54.082
מודיעין - ליגד סנטר,31.9211897,34.9701743,56.913
מודיעין עילית,31.9325,35.0423,62.639
מודיעין-מכבים-רעות,31.890267,35.010397,57.256
מולדה,31.261071,34.975564,49.819
מועאוויה,32.5319,35.1029,118.791
מועצה אזורית דרום השרון,32.133539,34.910989,71.655
מוצא עילית,31.7936,35.157,62.944
מוקיבלה,32.5151,35.2948,127.095
מורן,32.9216,35.3948,169.895
מורשת,32.8261,35.232,153.263
מזור,32.0507,34.9314,65.444
מזכרת בתיה,31.8532,34.8424,43.291
מזרע,32.6499,35.2864,138.907
מזרעה,32.9837,35.0989,164.197
מחניים,32.9888,35.5704,184.922
מחסיה,31.7489,35.0073,48.044
מטווח ניר עם,31.5128,34.5543,1.376
מטולה,33.2772,35.5782,212.638
מטע,31.7165,35.0606,51.151
מי עמי,32.505,35.1464,118.297
מייסר,32.4452,35.0421,107.611
מיצד,31.5862,35.1876,59.819
מיצר,32.7686,35.7364,175.149
מירון,32.9852,35.4416,178.193
מישר,31.8159,34.7526,34.647
מיתר,31.327,34.9432,43.115
מכללת ספיר,31.5090643,34.5944391,4.319
מכמנים,32.9075,35.3287,165.486
מלונות ים המלח מרכז,31.1803,35.3645,86.077
מלילות,31.389897,34.595243,14.284
מלכיה,33.0986,35.5096,192.256
ממשית,31.0345,35.0478,71.373
מנוחה,31.6562,34.7773,23.985
מנוף,32.8533,35.2374,156.178
מנות,33.0387,35.1952,173.188
מנחמיה,32.6643,35.5553,155.32
מנחת מחניים,32.9781,35.572,184.019
מנרה,33.1954,35.5437,203.152
מנשית זבדה,32.7062,35.1924,139.775
מסד,32.8442,35.4232,163.964
מסדה,32.6823,35.5977,159.433
מסילת ציון,31.8014,35.0095,51.182
מסלול,31.3253422,34.5885811,18.955
מסעדה,33.2321,35.7556,216.962
מסעודין אל-עזאזמה,31.199264,34.817449,43.821
מע'אר,32.8907,35.4046,167.42
מעגלים,31.398859,34.598239,13.692
מעגלים גבעולים מלילות,31.397604,34.593821,13.563
מעגן,32.7063,35.6006,161.621
מעגן מיכאל,32.5587,34.9178,114.109
מעון,31.4146,35.1639,59.0
מעון צופיה,31.8557,34.7379,37.123
מעונה,33.0169,35.2636,173.562
מעיין ברוך,33.2393,35.6094,210.425
מעיין צבי,32.5685,34.9406,115.897
מעיליא,33.0272,35.2563,174.312
מעלה אדומים,31.7774,35.298,74.583
מעלה אפרים,32.0713,35.4039,98.885
מעלה גמלא,32.8883,35.686,182.277
מעלה החמישה,31.8174,35.1094,60.176
מעלה חבר,31.4871,35.1651,57.837
מעלה מכמש,31.8791,35.3059,79.789
מעלה עירון,32.5541,35.1825,124.712
מעלה עמוס,31.5969,35.2294,63.866
מעלה צביה,32.8894,35.3314,163.851
מעלה רחבעם,31.6494,35.2589,67.371
מעלה שומרון,32.1654,35.0697,83.592
מעלות תרשיחא,33.015,35.276,173.865
מענית,32.458,35.0266,108.16
מעש,32.0635,34.8926,64.302
מפלסים,31.5022,34.5617,2.486
מצדה,31.3114,35.3627,80.306
מצובה,33.0623,35.1557,174.234
מצוקי דרגות,31.591,35.3933,79.337
מצליח,31.9064,34.8713,49.562
מצפה,32.79,35.5079,163.492
מצפה אבי''ב,32.837951,35.201059,153.134
מצפה אילן,32.4614,35.0689,110.414
מצפה נטופה,32.8017,35.3835,157.991
מצפה שלם,31.5689,35.4004,79.907
מצר,32.4402,35.0477,107.385
מקווה ישראל,32.03,34.7829,55.508
מרגליות,33.2165,35.5444,205.224
מרום גולן,33.1326,35.7771,209.026
מרחב עם,30.888,34.8282,62.62
מרחביה מושב,32.6048,35.316,136.314
מרחביה קיבוץ,32.6059,35.3073,135.947
מרחצאות עין גדי,31.4173,35.3785,78.962
מרינה,31.680779,34.557664,11.345
מרכז אזורי דרום השרון,32.1336,34.912,71.714
מרכז אזורי מבואות חרמון,33.1209,35.5699,197.259
מרכז אזורי מרום גליל,32.998,35.4415,179.414
מרכז אזורי משגב,32.8588,35.2598,157.681
מרכז חבר,32.5483,35.2661,128.494
מרכז ימי קיסריה,32.5017,34.8925,107.356
מרכז מיר''ב,32.64726,34.964089,124.834
מרכז שפירא,31.6969,34.7073,21.772
מרעית,31.2812,35.0534,54.715
משאבי שדה,31.004,34.785,51.504
משגב דב,31.8191,34.7392,34.154
משגב עם,33.2476,35.5485,208.426
משהד,32.7389,35.3225,149.052
משואות יצחק,31.7026,34.69,21.259
משמר איילון,31.8725,34.9433,51.273
משמר דוד,31.8236,34.9007,44.605
משמר הירדן,33.0035,35.5983,187.728
משמר הנגב,31.3648,34.718,23.721
משמר השבעה,32.0109,34.8223,55.699
משמרות,32.4865,34.9839,109.178
משמרת,32.2276,34.9221,81.052
משען,31.6569,34.6216,13.185
מתחם בני דרום,31.8233,34.6994,32.041
מתחם פי גלילות,32.1384,34.8045,67.072
מתחם צומת שוקת,31.3095,34.8982,40.706
מתן,32.1594,34.9732,77.376
מתת,33.0417,35.3567,179.86
מתתיהו,31.9297,35.035,61.922
נאות גולן,32.787,35.6932,174.067
נאות הכיכר,30.9334,35.3781,102.546
נאות מרדכי,33.1598,35.5956,202.191
נאות סמדר,30.0491,35.0281,148.548
נבטים,31.2198,34.8825,46.163
נבי סמואל,31.8329,35.1811,66.95
נגבה,31.6625,34.6796,17.169
נגוהות,31.4931,34.9833,40.583
נהורה,31.6213,34.7045,16.071
נהלל,32.6908,35.1961,138.443
נהריה,33.0085,35.0981,166.748
נוב,32.8329,35.7836,183.435
נוגה,31.6257,34.6953,15.595
נווה,31.1622,34.3298,8.454
נווה אטי''ב,33.26202,35.740574,218.972
נווה אילן,31.8076,35.0809,57.296
נווה דניאל,31.6763,35.1433,57.254
נווה זוהר,31.1521,35.3648,87.577
נווה זיו,33.0274,35.1843,171.639
נווה חריף,30.0398,35.0365,149.844
נווה ים,32.6798,34.9319,127.181
נווה ימין,32.1717,34.9394,76.662
נווה ירק,32.1327,34.9255,72.35
נווה מבטח,31.8068,34.7412,33.185
נווה מיכאל - רוגלית,31.6728,35.0037,44.431
נווה שלום,31.8174,34.9783,49.786
נועם,31.5686,34.7882,21.878
נוף איילון,31.8712,34.9913,54.503
נוף הגליל,32.71,35.3227,146.353
נופי נחמיה,32.0982,35.2359,88.55
נופי פרת,31.8235,35.3199,78.376
נופים,32.1555,35.0998,84.577
נופית,32.7634,35.1483,143.537
נופך,32.0437,34.9203,64.178
נוקדים,31.6458,35.2504,66.511
נורדיה,32.3147,34.8968,88.456
נורית,32.5432,35.3558,133.056
נחל עוז,31.4727,34.4977,1.823
נחלה,31.66,34.7928,25.47
נחליאל,31.9735,35.1404,72.589
נחלים,32.0586,34.9136,65.07
נחם,31.7665,35.0036,48.677
נחף,32.9347,35.3165,167.6
נחשולים,32.6131,34.9222,119.908
נחשון,31.8316,34.956,49.11
נחשונים,32.0632,34.947,67.452
נטועה,33.0654,35.3234,180.82
נטור,32.8541,35.7526,183.334
נטע,31.4761,34.9268,35.543
נטעים,31.9457,34.7751,47.215
נטף,31.8313,35.0696,57.759
ניל''י,31.963415,35.04727,65.353
נין,32.631,35.3494,140.497
ניצן,31.7375,34.6308,20.561
ניצנה,30.886,34.4226,39.522
ניצני עוז,32.3061,35.0033,92.457
ניצנים,31.7178,34.6346,19.203
ניר אליהו,32.1976,34.9494,79.578
ניר בנים,31.6712,34.755,23.133
ניר גלים,31.8255,34.6825,31.274
ניר ח''ן,31.608906,34.714282,16.248
ניר יצחק,31.236,34.3567,3.395
ניר ישראל,31.6922,34.6381,17.159
ניר משה,31.4775,34.6301,9.169
ניר עוז,31.3097,34.4021,2.763
ניר עם,31.518459,34.580544,2.638
ניר עציון,32.6991,34.9925,131.158
ניר עקיבא,31.4699,34.6462,10.875
ניר צבי,31.9544,34.8615,53.039
נירים,31.3357,34.3941,3.06
נירית,32.1462,34.9848,76.864
נמרוד,33.2453,35.7516,217.978
נס הרים,31.7442,35.0594,52.248
נס עמים,32.9655,35.1216,163.076
נס ציונה,31.9321,34.8013,47.484
נעורה,32.6082,35.3937,140.934
נען,31.8832,34.8592,46.886
נצר חזני,31.8214,34.8626,41.879
נצר סרני,31.9228,34.8212,47.892
נצרת,32.6996,35.3035,144.414
נשר,32.7649,35.0492,139.907
נתיב הל''ה,31.687184,34.982523,43.074
נתיב העשרה,31.5724,34.5393,1.371
נתיב השיירה,32.9912,35.1307,166.04
נתיבות,31.4232,34.5953,11.428
נתניה - מזרח,32.3001,34.8727,86.02
נתניה - מערב,32.3095,34.8542,86.254
סאג'ור,32.9431,35.3436,169.619
סאסא,33.0287,35.3946,180.237
סביון,32.0456,34.8766,61.808
סגולה,31.6695,34.7784,24.849
סואעד חמירה,32.7669,35.1682,144.706
סולם,32.6056,35.3343,137.381
סוסיא,31.3866,35.1204,55.809
סופה,31.2383,34.342,2.49
סיט,31.7912002547223,34.6394912772076,25.834
סינמה סיטי גלילות,32.1473,34.8063,68.032
סכנין,32.8642,35.2945,159.737
סלמה,32.8932,35.3705,166.029
סלעית,32.2426,35.0513,89.172
סנדלה,32.5224,35.3244,129.424
סנסנה,31.3618,34.901,37.68
סעד,31.4702,34.5344,3.732
סעייה-מולדה,31.261071,34.975564,49.819
סער,33.0287,35.1092,169.209
ספסופה - כפר חושן,33.0131,35.4402,180.802
סתריה,31.8899,34.8421,46.369
ע'ג'ר,33.2728,35.6242,214.33
עבדון,33.0488,35.1791,173.65
עבדת,30.7923,34.7687,66.385
עברון,32.9911,35.1,165.001
עגור,31.6975,34.912,37.408
עדי,32.7824,35.1734,146.462
עדנים,32.1388,34.9091,72.042
עוזה,31.593,34.7645,20.15
עוזייר,32.7906,35.3269,154.157
עולש,32.332,34.9853,94.054
עומר,31.2643,34.8499,40.494
עופר,32.6219,34.9835,122.897
עופרים,32.0186,35.0446,69.635
עוצם,31.6377,34.7051,17.12
עזר,31.7362,34.6714,22.947
עזריאל,32.2628,34.9711,86.778
עזריה,31.8905,34.9119,50.684
עזריקם,31.7517,34.6948,25.668
עידן,30.8063,35.2999,104.833
עיילבון,32.837949,35.399996,162.215
עיינות,31.9158,34.7681,44.138
עילבון,32.8379,35.4,162.21
עילוט,32.7173,35.2615,144.037
עין איילה,32.63,34.9443,122.385
עין אל אסד,32.9408,35.401,172.026
עין אל-סהלה,32.4915,35.1175,115.605
עין בוקק,31.2002,35.3625,84.918
עין גב,32.7834,35.6401,170.541
עין גדי,31.4512,35.3836,78.906
עין דור,32.6555,35.4164,146.401
עין הבשור,31.2809,34.4434,7.615
עין הוד,32.7003,34.9827,130.951
עין המפרץ,32.9026,35.093,155.605
עין השלושה,31.3517,34.4035,3.877
עין ורד,32.2645,34.9307,85.004
עין זיוון,33.0965,35.7963,206.859
עין חוד,32.6914,34.9991,130.59
עין חצבה,30.7972,35.2453,100.98
עין חרוד,32.5631,35.3917,136.88
עין יעקב,33.0093,35.229,171.451
עין כמונים,32.9194,35.4301,171.379
עין כרמל,32.6779,34.9537,127.672
עין מאהל,32.7243,35.3534,149.25
עין נקובא,31.7939,35.1197,59.794
עין עירון,32.4844,35.0101,110.048
עין צורים,31.6949,34.7187,22.322
עין קנייא,33.2367,35.7313,216.145
עין ראפה,31.7906,35.1165,59.357
עין שמר,32.4619,35.0067,107.678
עין שריד,32.2749,34.9342,86.171
עין תמר,30.9436,35.3741,101.522
עינבר,32.9097,35.4237,170.148
עינת,32.0819,34.9375,68.496
עיר אובות,30.809,35.2444,100.238
עכו,32.9331,35.0827,158.412
עכו - אזור תעשייה,32.8984,35.0863,154.942
עלומים,31.453,34.5147,3.975
עלי,32.0712,35.2669,88.713
עלי זהב,32.0722,35.0641,75.353
עלמה,33.0519,35.4996,187.319
עלמון,31.8321,35.2968,76.75
עמוקה,32.9977,35.5248,183.428
עמיחי,32.0464,35.3283,91.501
עמינדב,31.7517,35.1424,59.798
עמיעד,32.9304,35.5405,177.986
עמיעוז,31.248463,34.413404,7.65
עמיקם,32.5646,35.0203,118.47
עמיר,33.1777,35.6198,205.062
עמנואל,32.1607,35.136,87.246
עמקה,32.9777,35.1618,165.742
ענב,32.2836,35.1252,97.019
עפולה,32.6105,35.2879,135.339
עץ אפרים,32.1194,35.0464,78.278
עצמון - שגב,32.8658,35.2523,158.047
עראבה,32.8537,35.3372,160.676
ערב אל עראמשה,33.0888,35.2288,179.527
ערב אל-נעים,32.8881,35.2901,161.877
ערד,31.2614,35.2149,69.304
ערוגות,31.7328,34.7762,29.13
ערוער - ערערה בנגב,31.160927,35.019757,60.194
ערערה,32.4963,35.0973,115.1
ערערה בנגב,31.1561,35.023,60.778
ערערה-בנגב,31.160927,35.019757,60.194
עשאהל,31.373,35.0435,49.387
עשרת,31.8249,34.7475,35.14
עתלית,32.6909,34.9429,128.685
עתניאל,31.4388,35.0282,45.826
פארק תעשיות פלמחים,31.9532,34.7675,47.499
פארק תעשייה ראם,31.7682,34.7552,30.782
פדויים,31.3263,34.6121,20.469
פדיה,31.8578,34.8838,46.207
פוריה כפר עבודה,32.7198,35.5456,159.472
פוריה נווה עובד,32.7438,35.5381,161.117
פוריה עילית,32.7327,35.5462,160.623
פוריידיס,32.5974,34.9519,119.268
פורת,32.2771,34.9488,87.062
פטיש,31.3278,34.56,16.737
פלך,32.9336,35.233,163.986
פלמחים,31.9327,34.7069,42.581
פני קדם,31.5895,35.1951,60.555
פנימיית עין כרם,31.7788,35.1533,61.934
פסגות,31.9,35.2239,74.173
פסוטה,33.0478,35.3088,178.469
פעמי תש''ז,31.4383,34.6921,16.47
פקיעין,32.9762,35.3358,172.513
פרדס חנה,32.4728028,34.9742001,107.415
פרדסיה,32.305,34.9117,88.117
פרוד,32.9331,35.4343,172.881
פרי גן,31.222,34.3559,4.667
פתח תקווה,32.084,34.8878,65.885
פתחיה,31.867,34.8869,47.165
צאלים,31.2039,34.5334,19.541
צבעון,33.0264,35.4167,181.006
צובה,31.7844,35.118,59.177
צוחר,31.23717,34.426444,9.139
צוחר ואוהד,31.23717,34.426444,9.139
צופים,32.1979,35.0107,82.911
צופית,32.1949,34.9201,77.846
צור הדסה,31.7194,35.097,54.488
צור יצחק,32.2415,34.998,86.168
צור משה,32.2989,34.9131,87.575
צור נתן,32.2397,35.014,86.856
צוריאל,33.0065,35.3148,174.607
צורית גילון,32.9043,35.2322,161.025
צורן,32.277644,34.919297,85.761
ציפורי,32.7467,35.2764,147.555
צלפון,31.8056,34.9318,45.509
צפריה,32.0043,34.8547,56.903
צפרירים,31.6596,34.9443,38.624
צפת,32.9646,35.496,178.886
צרופה,32.6478,34.9465,124.306
צרעה,31.7627,34.9669,45.473
קבוצת גבע,32.5661,35.3728,136.04
קבוצת יבנה,31.814,34.7191,32.453
קדומים,32.2124,35.1574,92.902
קדימה,32.277644,34.919297,85.761
קדימה-צורן,32.283,34.9119,85.958
קדיתא,33.006,35.4683,181.449
קדמה,31.7008,34.7749,26.645
קדמת צבי,33.0295,35.6977,195.416
קדר,31.7544,35.3107,74.902
קדרון,31.8141,34.7955,37.144
קדרים,32.8989,35.4716,171.517
קדש ברנע,30.9034,34.3967,36.841
קוממיות,31.6626,34.7293,20.618
קורנית,32.8444,35.2519,155.923
קטורה,29.9709,35.0614,157.689
קיבוץ דן,33.2406,35.6523,212.595
קיסריה,32.519,34.9045,109.55
קלחים,31.4498,34.6791,14.706
קלנסווה,32.2858,34.9815,89.464
קלע,33.1317,35.6839,203.988
קציר,32.4852,35.1087,114.581
קצר א-סר,31.083329,34.979579,63.182
קצר-א-סיר,31.083329,34.979579,63.182
קצר-א-סיר והפזורה,31.0865,34.9979,64.457
קצרין,32.991,35.6899,191.539
קצרין - אזור תעשייה,32.989259,35.710742,192.549
קריית אונו,32.0549,34.8589,61.679
קריית אתא,32.8052,35.0925,145.595
קריית ביאליק,32.8322,35.0884,148.206
קריית גת,31.611148,34.768459,21.104
קריית חינוך מרחבים,31.3142,34.5999,20.571
קריית טבעון-בית זייד,32.702414,35.131109,136.754
קריית ים,32.8493,35.0689,149.279
קריית יערים,31.8028,35.0999,58.6
קריית מוצקין,32.8382,35.0795,148.506
קריית מלאכי,31.7302,34.747,27.025
קריית נטפים,32.1173,35.1121,82.094
קריית ענבים,31.8099,35.1208,60.714
קריית עקרון,31.8625,34.822,42.826
קריית שמונה,33.2079,35.5702,205.58
קרית ארבע,31.5293,35.1156,52.877
קרית אתא,32.809144,35.119773,147.016
קרית חינוך מרחבים,31.3138394,34.5749882,18.839
קרית מוצקין,32.838202,35.079523,148.507
קרני שומרון,32.1716,35.0975,85.811
קשת,32.9804,35.8085,197.421
ראמה,32.9371,35.367,170.094
ראס אל-עין,32.9157,35.3727,168.292
ראס עלי,32.7729,35.1555,144.779
ראש הנקרה,33.0861,35.1135,175.329
ראש העין,32.0958,34.9522,70.565
ראש פינה,32.9704,35.5427,181.791
ראש צורים,31.6678,35.1253,55.368
ראשון לציון - מזרח,31.9723,34.8066,51.344
ראשון לציון - מערב,31.981,34.7679,50.115
רבבה,32.1187,35.1296,83.278
רבדים,31.774,34.8148,34.952
רביבים,31.0452,34.7211,43.897
רביד,32.8506,35.4641,166.654
רגבה,32.9775,35.0991,163.56
רגבים,32.5234,35.034,114.921
רהט,31.394548,34.753934,24.092
רהט והפזורה,31.4033,34.7582,23.807
רווחה,31.6487,34.7337,20.041
רוחמה,31.4974,34.7052,14.475
רומאנה,32.7881,35.3112,153.166
רומת אל הייב,32.7776,35.3057,151.901
רחובות,31.8928,34.8113,44.787
רחלים,32.1025,35.2578,90.385
רטורנו - גבעת שמש,31.7759,34.9474,44.723
ריחאנייה,33.0499,35.4871,186.533
ריחן,32.4688,35.1353,114.341
ריינה,32.7199,35.3177,147.028
רינתיה,32.0444,34.9285,64.732
רכסים,32.7493,35.0996,140.187
רם און,32.5287,35.2587,126.316
רמות,32.8504,35.6652,177.779
רמות השבים,32.1651,34.8815,73.137
רמות מאיר,31.8744,34.8552,45.888
רמות נפתלי,33.1024,35.5533,194.701
רמלה,31.9316,34.8729,51.783
רמת גן,32.068424,34.824785,61.189
רמת גן - מזרח,32.0529,34.8416,60.582
רמת גן - מערב,32.0706,34.8275,61.528
רמת דוד,32.679,35.204,137.662
רמת הכובש,32.2183,34.9383,80.955
רמת הנדיב,32.5524,34.9453,114.405
רמת השרון,32.1378,34.8403,68.581
רמת יוחנן,32.7935,35.1222,145.526
רמת ישי,32.704,35.166,138.396
רמת מגשימים,32.8441,35.8066,185.782
רמת צבי,32.592,35.4145,140.72
רמת רזיאל,31.7736,35.0744,54.949
רנן,31.3387,34.6004,18.7
רעים,31.3862,34.4588,5.702
רעננה,32.1848,34.8713,74.557
רקפת,32.8556,35.2642,157.558
רשפון,32.2019,34.8247,74.24
רתמים,31.054,34.6909,40.954
שאנטי במדבר,30.8333,34.7366,60.917
שאר ישוב,33.2263,35.6468,210.974
שבי דרום,31.4664,34.6386,10.6
שבי ציון,32.9821,35.083,163.513
שבלי,32.6863,35.4061,148.58
שגב שלום,31.198361,34.839665,45.203
שגב שלום והפזורה,31.1984,34.8397,45.202
שגב-שלום,31.198361,34.839665,45.203
שדה אברהם,31.2116,34.3357,5.337
שדה אילן,32.7505,35.4224,155.276
שדה אליעזר,33.0465,35.5653,190.025
שדה בוקר,30.8736,34.7931,61.246
שדה דוד,31.5775,34.6834,12.272
שדה ורבורג,32.2087,34.9033,78.35
שדה יואב,31.6457,34.6768,15.638
שדה יעקב,32.6976,35.1413,136.705
שדה יצחק,32.405,34.9922,101.452
שדה משה,31.611,34.8004,23.975
שדה נחמיה,33.1882,35.6231,206.216
שדה ניצן,31.23,34.4184,8.675
שדה עוזיהו,31.7584,34.6782,25.308
שדה צבי,31.4487,34.7132,17.413
שדות ים,32.4926,34.8932,106.437
שדות מיכה,31.7214,34.9207,39.376
שדי חמד,32.1585,34.9428,75.631
שדמה,31.8338,34.7401,35.415
שדמות דבורה,32.6962,35.4364,151.141
שדרות,31.522694,34.595581,3.694
שהם,31.9958,34.9488,61.85
שואבה,31.7994,35.079,56.688
שובה,31.4501874944935,34.5450936566071,6.159
שובל,31.4137,34.7458,22.171
שומרה,33.0825,35.282,180.888
שומריה,31.4322,34.8841,32.888
שומרת,32.9515,35.095,160.728
שוקדה,31.4221,34.5244,6.962
שורש,31.7975,35.0653,55.456
שורשים,32.8927,35.2586,160.972
שזור,32.9339,35.3545,169.215
שחר,31.6184063,34.7240639,17.543
שחרות,29.9041,34.9992,161.544
שיבולים,31.3964,34.6081,14.477
שיטים,30.1764,35.0167,135.824
שייח' דנון,32.9938,35.1486,166.927
שילת,31.9212,35.0146,59.873
שכניה,32.8492,35.2467,156.171
שלומי,33.0726,35.1459,174.972
שלומית,31.1697,34.3032,6.205
שמיר,33.1668,35.66,206.027
שמעה,31.3873,35.0127,46.084
שמשית,32.7325,35.2465,144.789
שני ליבנה,31.3566,35.0699,52.392
שניר,33.2403,35.677,213.77
שעב,32.8897,35.2388,159.843
שעל,33.1165,35.7188,204.428
שעלבים,31.8702,34.9843,53.933
שער אפרים,32.2907,34.9994,90.814
שער הגולן,32.6869,35.6047,160.247
שער העמקים,32.7226,35.1106,137.932
שער מנשה,32.4439,35.011,106.092
שערי תקווה,32.1207,35.027,77.209
שפיים,32.2166,34.8224,75.627
שפיר,31.6976,34.7282,23.157
שפר,32.9446,35.4378,174.142
שפרעם,32.8058,35.17,148.656
שקד,32.4737,35.1684,116.489
שקף,31.5149,34.9373,36.024
שרונה,32.7259,35.4672,155.507
שריגים - ליאון,31.6786,34.9351,38.543
שריד,32.6631,35.2248,137.111
שרשרת,31.4048,34.6044,13.532
שתולה,33.0859,35.3156,182.554
שתולים,31.7737,34.6844,26.938
תארבין,31.345481,34.739126,26.656
תאשור,31.3717,34.6435,18.662
תדהר,31.3789,34.6304,17.321
תובל,32.9285,35.2457,163.991
תחנת רכבת כפר יהושוע,32.6811,35.1246,134.367
תחנת רכבת ראש העין,32.1209,34.9345,71.775
תימורים,31.7163,34.7614,26.846
תירוש,31.7503,34.8859,38.326
תל אביב - דרום העיר ויפו,32.0462,34.7654,56.286
תל אביב - יפו,32.0852999,34.7817676,60.847
תל אביב - מזרח,32.0578,34.7987,58.924
תל אביב - מרכז העיר,32.0798,34.7772,60.108
תל אביב - עבר הירקון,32.1213,34.8203,66.071
תל חי,33.2334,35.5827,208.613
תל יוסף,32.5567,35.3989,136.752
תל יצחק,32.2527,34.8724,81.271
תל מונד,32.2566,34.9185,83.678
תל עדשים,32.6574,35.3025,140.429
תל ערד,31.2782985,35.1266529,60.959
תל ערד ואל פורה,31.2782985,35.1266529,60.959
תל ציון,31.8804,35.2391,74.301
תל קציר,32.7064,35.6179,162.692
תל שבע,31.2476,34.8612,42.553
תלם,31.5631,35.0312,44.854
תלמי אליהו,31.2296,34.4291,9.641
תלמי אלעזר,32.4472,34.975,104.888
תלמי ביל''ו,31.4381,34.6448,13.091
תלמי יוסף,31.2,34.3638,7.198
תלמי יחיאל,31.7536,34.7643,30.06
תלמי יפה,31.6169,34.6125,9.263
תלמים,31.5634,34.672,10.867
תמרת,32.7038,35.2255,141.049
תנובות,32.3059,34.9626,90.48
תעוז,31.8013,34.972,48.249
תעשיון חצב,32.0717,34.9544,68.624
תעשיון צריפין,31.9624,34.8533,53.201
תפרח,31.3245,34.6792,24.9
תקומה,31.4485,34.5781,8.187
תקומה וחוות יזרעם,31.448536,34.578085,8.183
תקוע,31.6528,35.2275,64.502
תראבין א-צאנע ופזורה,31.345481,34.739126,26.656
תרום,31.7833,34.9802,47.761
