cities,2019-06-13,2023-10-07,2025-06-13
נריה,38,38,19
נשר,59,59,22
נתיב הגדוד,12,12,9
נתיב הל''ה,49,49,14
נתיב העשרה,547,270,5
נתיב השיירה,82,81,21
נתיבות,158,74,7
נתניה - מזרח,42,41,23
נתניה - מערב,43,42,23
סאג'ור,37,37,22
סאסא,122,121,16
סביון,114,103,33
סגולה,24,24,16
סואעד חמירה,45,45,24
סולם,26,26,14
סוסיא,30,30,13
סופה,192,110,3
סינמה סיטי גלילות,77,77,30
סכנין,48,48,22
סלמה,30,30,22
סלעית,31,31,24
סמר,9,9,9
סנדלה,17,17,10
סנסנה,25,25,12
סעד,197,86,5
סעווה,21,21,13
סעייה-מולדה,34,34,
סער,155,155,19
ספיר,7,7,4
ספסופה - כפר חושן,84,84,16
סתריה,95,88,26
ע'ג'ר,155,155,13
עבדון,134,127,16
עבדת,10,10,4
עברון,108,108,21
עגור,48,47,15
עדי,44,44,24
עדי עד,17,17,13
עדנים,79,76,30
עוזה,23,20,11
עוזייר,34,34,21
עולש,31,30,18
עומר,68,42,12
עופר,36,35,19
עופרים,56,56,28
עוצם,29,28,14
עזוז,3,3,3
עזר,78,38,16
עזריאל,36,35,24
עזריה,79,74,24
עזריקם,93,50,17
עטרת,24,24,18
עידן,13,13,8
עיינות,110,94,29
עילבון,38,38,21
עילוט,43,43,22
עין איילה,34,33,17
עין אל אסד,31,31,21
עין אל סהלה,26,25,16
עין בוקק,23,23,9
עין גב,23,23,12
עין גדי,21,21,8
עין דור,25,25,17
עין הבשור,39,24,6
עין הוד,38,37,20
עין החורש,24,24,13
עין המפרץ,134,132,23
עין הנצי''ב,19,19,15
עין העמק,39,39,20
עין השופט,31,31,18
עין השלושה,234,107,2
עין ורד,45,43,26
עין זיוון,32,32,14
עין חוד,38,37,20
עין חצבה,13,13,7
עין חרוד,18,18,11
עין יהב,7,7,5
עין יעקב,64,64,19
עין כמונים,29,29,20
עין כרמל,36,35,19
עין מאהל,31,31,19
עין נקובא,46,45,12
עין עירון,20,19,14
עין צורים,39,31,17
עין קנייא,52,50,10
עין ראפה,49,48,12
עין שמר,28,27,14
עין שריד,45,43,27
עין תמר,19,19,11
עינבר,29,29,21
עינת,82,76,32
עיר אובות,15,15,8
עכו,144,142,23
עכו - אזור תעשייה,147,145,23
עלומים,195,71,6
עלי,26,24,19
עלי זהב,47,47,27
עלמה,93,93,14
עלמון,22,22,11
עמוקה,108,107,18
עמיחי,18,18,13
עמינדב,51,50,10
עמיעד,58,57,20
עמיעוז,72,57,4
עמיקם,28,27,15
עמיר,87,87,11
עמנואל,29,29,22
עמקה,61,61,22
ענב,27,26,19
עספיא,47,47,20
עפולה,31,31,17
עפרה,19,19,14
עץ אפרים,42,41,25
עצמון - שגב,42,42,22
עראבה,33,33,22
ערב אל נעים,45,45,24
ערב אל עראמשה,225,222,12
ערד,37,36,10
ערוגות,47,42,16
ערערה,30,28,16
ערערה בנגב,55,53,12
עשהאל,32,31,15
עשרת,76,56,19
עתלית,40,39,19
עתניאל,27,27,14
פארן,6,6,5
פארק תעשיות מגדל עוז,31,31,11
פארק תעשיות פלמחים,145,121,31
פארק תעשייה ראם,67,58,19
פדואל,47,47,27
פדויים,39,25,11
פדיה,76,73,23
פוריה כפר עבודה,21,21,12
פוריה נווה עובד,23,23,12
פוריה עילית,20,20,11
פוריידיס,35,34,16
פורת,38,37,26
פטיש,75,61,9
פלך,50,50,23
פלמחים,100,75,27
פני קדם,26,26,8
פנימיית עין כרם,43,42,11
פסגות,19,18,12
פסוטה,116,113,15
פעמי תש''ז,19,16,11
פצאל,14,14,9
פקיעין,61,59,20
פקיעין החדשה,43,43,19
פרדס חנה כרכור,23,22,13
פרדסיה,38,38,22
פרוד,31,31,20
פרי גן,72,29,3
פתח תקווה,126,110,33
פתחיה,78,74,23
צאלון,16,16,12
צאלים,32,25,9
צבעון,107,106,16
צובה,49,48,12
צוחר,54,22,4
צומת בנימינה,25,25,14
צומת דבירה,20,20,14
צומת האלה,43,43,13
צומת הגוש,36,36,11
צופים,40,40,25
צופית,64,63,30
צופר,4,4,3
צוקים,6,6,5
צור הדסה,54,53,13
צור יצחק,35,34,24
צור משה,38,38,22
צור נתן,33,32,24
צוריאל,65,63,19
צורית גילון,59,59,23
צורן,1,,
ציפורי,43,43,23
צלפון,66,65,21
צמח,18,18,12
צפריה,122,109,35
צפרירים,41,41,13
צפת - נוף כנרת,79,79,18
צפת - עיר,168,168,18
צפת - עכברה,59,59,19
צרופה,34,33,17
צרעה,57,57,18
קבוצת גבע,19,19,11
קבוצת יבנה,89,53,19
קדומים,27,26,19
קדימה צורן,42,41,24
קדיתא,106,106,18
קדמה,26,26,16
קדמת צבי,57,57,16
קדרון,87,71,21
קדרים,32,31,21
קדש ברנע,4,4,2
קוממיות,28,26,15
קורנית,44,44,22
קטורה,7,7,6
קיבוץ דן,145,145,11
קיבוץ מגידו,24,24,15
קידה,18,18,13
קידר,15,15,8
קיסריה,24,23,12
קלחים,16,13,9
קליה,9,9,6
קלנסווה,39,37,24
קסר א-סר,37,33,11
קציר,27,25,16
קצרין,69,69,15
קצרין - אזור תעשייה,56,56,16
קריית אונו,121,106,34
קריית ארבע,28,28,10
קריית אתא,92,91,24
קריית ביאליק,123,121,22
קריית גת,40,35,12
קריית חינוך מרחבים,39,27,11
קריית טבעון - בית זייד,56,56,21
קריית ים,108,106,22
קריית יערים,55,53,12
קריית מוצקין,109,108,22
קריית מלאכי,57,46,16
קריית נטפים,35,35,26
קריית ענבים,48,46,12
קריית עקרון,87,79,24
קריית שמונה,596,595,12
קרני שומרון,39,34,25
קשת,23,23,13
ראמה,33,33,22
ראס אל-עין,29,29,23
ראס עלי,46,46,24
ראש הנקרה,186,184,14
ראש העין,83,77,32
ראש פינה,91,90,18
ראש צורים,43,41,12
ראשון לציון - מזרח,177,148,33
ראשון לציון - מערב,185,148,32
רבבה,34,34,26
רבדים,57,55,19
רביבים,15,15,7
רביד,27,27,18
רגבה,96,96,21
רגבים,25,24,15
רהט,41,29,15
רווחה,28,26,15
רוויה,17,17,13
רוחמה,14,13,8
רומאנה,34,34,21
רומת אל הייב,36,36,21
רועי,16,16,11
רותם,16,16,12
רחוב,18,18,13
רחובות,136,116,27
רחלים,25,24,21
רטורנו - גבעת שמש,63,63,20
ריחאנייה,96,96,14
ריחן,26,26,18
ריינה,39,39,20
רימונים,13,13,9
רינתיה,95,85,34
רכסים,47,47,22
רם און,22,22,12
רמות,17,17,11
רמות השבים,72,68,29
רמות מאיר,83,79,25
רמות מנשה,32,32,20
רמות נפתלי,201,201,11
רמלה,121,104,28
רמת גן - מזרח,124,107,33
רמת גן - מערב,151,127,33
רמת דוד,42,42,20
רמת הכובש,48,47,27
רמת הנדיב,28,27,15
רמת השופט,31,31,18
רמת השרון,100,88,31
רמת טראמפ,23,23,13
רמת יוחנן,53,53,23
רמת ישי,42,42,21
רמת מגשימים,42,42,23
רמת צבי,18,18,12
רמת רזיאל,58,56,12
רנן,35,20,11
רעים,68,41,3
רעננה,82,75,30
רפטינג נהר הירדן,27,27,16
רקפת,45,45,22
רשפון,70,67,30
רשפים,21,21,14
רתמים,17,17,9
שאנטי במדבר,11,11,4
שאר ישוב,171,170,10
שבות רחל,18,18,14
שבי דרום,13,11,7
שבי ציון,98,98,21
שבי שומרון,22,22,19
שבלי,25,25,17
שגב שלום,73,50,12
שדה אילן,34,34,16
שדה אליהו,16,16,11
שדה אליעזר,55,54,12
שדה בוקר,10,10,4
שדה בר,31,31,12
שדה דוד,20,17,8
שדה ורבורג,57,57,28
שדה יואב,26,22,14
שדה יעקב,44,44,21
שדה יצחק,22,20,11
שדה משה,25,24,12
שדה נחום,19,19,13
שדה נחמיה,88,88,11
שדה ניצן,44,20,4
שדה עוזיהו,126,54,17
שדה צבי,17,16,11
שדות ים,20,19,11
שדות מיכה,53,52,17
שדי אברהם,65,28,3
שדי חמד,66,64,30
שדי תרומות,16,16,12
שדמה,79,55,19
שדמות דבורה,23,23,16
שדמות מחולה,17,17,12
שדרות,527,244,6
שואבה,51,50,12
שובה,172,65,5
שובל,24,21,15
שוהם,88,79,33
שומרה,175,174,13
שומריה,22,22,15
שומרת,75,75,23
שוקדה,95,31,5
שורש,54,53,13
שורשים,44,44,23
שושנת העמקים,30,30,19
שזור,34,34,22
שחר,36,31,12
שחרות,9,9,8
שיבולים,42,31,9
שיטים,4,4,3
שייח' דנון,75,74,21
שילה,17,17,14
שילת,58,58,23
שכניה,45,45,22
שלווה,14,14,10
שלוחות,21,21,15
שלומי,350,341,13
שלומית,25,19,3
שלפים,21,21,14
שמיר,82,82,12
שמעה,29,29,15
שמשית,45,45,23
שני ליבנה,31,31,16
שניר,155,153,10
שעב,45,45,23
שעל,81,81,13
שעלבים,62,62,22
שער אפרים,36,34,25
שער הגולן,18,17,9
שער הגיא,58,58,20
שער העמקים,45,45,21
שער מנשה,29,28,15
שערי תקווה,50,48,28
שפיים,62,61,30
שפיר,41,32,17
שפר,40,40,20
שפרעם,67,65,24
שקד,28,27,18
שקף,19,19,11
שרונה,23,23,15
שריגים - לי-און,45,44,13
שריד,40,40,19
שרשרת,54,33,10
שתולה,198,196,13
שתולים,138,65,18
תארבין,33,33,13
תאשור,26,20,12
תדהר,28,20,10
תובל,56,56,23
תומר,13,13,9
תחנת רכבת כפר ברוך,35,35,19
תחנת רכבת כפר יהושוע,42,42,21
תחנת רכבת קריית מלאכי - יואב,36,36,19
תחנת רכבת ראש העין,75,73,32
תימורים,39,35,16
תירוש,66,63,17
תל אביב - דרום העיר ויפו,144,118,32
תל אביב - מזרח,137,116,33
תל אביב - מרכז העיר,136,114,33
תל אביב - עבר הירקון,127,108,32
תל חי,359,358,12
תל יוסף,16,16,9
תל יצחק,46,45,26
תל מונד,43,42,26
תל עדשים,32,32,18
תל ערד,43,42,11
תל ציון,18,18,12
תל קציר,23,22,11
תל שבע,72,51,12
תל תאומים,17,17,12
תלם,31,31,11
תלמי אליהו,32,17,5
תלמי אלעזר,52,51,20
תלמי ביל''ו,23,14,8
תלמי יוסף,28,16,3
תלמי יחיאל,61,53,18
תלמי יפה,51,26,7
תלמים,20,16,8
תמרת,40,40,21
תנובות,35,33,21
תעוז,61,60,20
תעשיון חצב,81,77,32
תעשיון צריפין,124,104,33
תפרח,40,30,13
תקומה,194,89,6
תקוע,31,31,11
תראבין א-צאנע ופזורה,11,,
תרום,61,61,19
